Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Schiavone,605,France,Male,39,7,0.0,1,No,Yes,50-75K,No
Moore,650,Spain,Male,32,1,132187.73,2,Yes,Yes,50-75K,No
Graham,850,Germany,Male,49,8,98649.55,1,Yes,No,50-75K,Yes
Amadi,489,Germany,Male,38,2,126444.08,2,Yes,Yes,50-75K,No
McKay,659,Germany,Female,30,8,154159.51,1,Yes,No,20-50K,No
Fedorova,753,France,Female,43,5,0.0,2,Yes,No,50-75K,No
Percy,477,Germany,Male,48,8,129250.0,2,Yes,Yes,50-75K,No
Floyd,610,Spain,Female,45,3,0.0,1,Yes,No,20-50K,Yes
Long,619,France,Female,33,2,167733.51,2,Yes,Yes,50-75K,No
Castiglione,619,Germany,Female,31,2,56116.3,2,No,No,0-20K,No
Melendez,758,France,Female,30,3,141581.08,1,Yes,No,50-75K,No
Mazzi,516,Germany,Male,50,7,139675.07,2,Yes,No,20-50K,No
Kovaleva,789,France,Female,27,8,66201.96,1,Yes,Yes,50-75K,No
Gill,687,France,Female,44,9,0.0,2,No,No,50-75K,Yes
Arcuri,485,Germany,Male,34,3,133658.24,1,Yes,No,50-75K,No
Chukwuma,446,Germany,Male,25,3,136202.78,1,Yes,No,50-75K,No
Stevenson,597,France,Female,60,0,131778.08,1,No,No,0-20K,Yes
Ponomarev,712,Spain,Male,74,5,0.0,2,No,No,50-75K,No
Gilroy,522,France,Female,34,3,0.0,2,Yes,Yes,0-20K,No
Sidorov,805,Germany,Female,26,8,42712.87,2,Yes,Yes,20-50K,No
Bates,781,France,Female,28,4,0.0,2,Yes,No,50-75K,No
Fanucci,689,Spain,Female,57,4,0.0,2,Yes,No,50-75K,Yes
Toscano,670,Germany,Male,31,1,142631.54,2,Yes,Yes,50-75K,No
Hearn,670,France,Male,33,2,141204.65,2,Yes,No,50-75K,No
Iroawuchi,524,Germany,Female,25,7,131402.21,1,No,No,50-75K,No
Martin,734,Spain,Female,39,3,92636.96,2,Yes,Yes,50-75K,No
Sinclair,489,France,Female,51,3,0.0,2,No,Yes,50-75K,Yes
Swanson,578,Germany,Female,31,5,102088.68,4,No,No,50-75K,Yes
Chinomso,622,Spain,Male,39,9,0.0,2,No,Yes,50-75K,No
Fomin,843,France,Female,38,8,134887.53,1,Yes,Yes,0-20K,No
McKay,687,France,Male,48,4,0.0,2,Yes,Yes,50-75K,No
Bergamaschi,700,Spain,Male,28,8,159900.38,1,No,No,20-50K,No
Matveyeva,410,Germany,Female,50,2,102278.79,2,Yes,No,50-75K,No
Madukaego,537,France,Female,41,0,0.0,2,No,Yes,50-75K,No
Ferri,780,France,Female,43,0,0.0,1,No,Yes,0-20K,No
Achebe,652,Spain,Male,58,6,0.0,2,No,Yes,50-75K,No
Mai,620,Germany,Male,35,0,76989.97,1,Yes,Yes,0-20K,No
Davis,697,France,Female,23,10,0.0,2,Yes,Yes,50-75K,No
Davey,786,France,Male,35,3,0.0,2,Yes,No,50-75K,No
Tsou,850,Germany,Female,39,5,114491.82,1,Yes,No,50-75K,No
Marino,749,Germany,Male,54,3,144768.94,1,Yes,No,50-75K,Yes
Kerr,445,France,Male,31,7,145056.59,1,Yes,Yes,50-75K,No
Hsiao,443,Germany,Male,50,3,117206.3,1,Yes,No,20-50K,Yes
Graham,637,Germany,Male,41,2,138014.4,2,Yes,No,50-75K,No
Ejikemeifeuwa,616,Germany,Female,45,6,128352.59,3,Yes,Yes,50-75K,Yes
Volkova,756,France,Female,23,1,112568.31,1,Yes,Yes,50-75K,No
Wang,644,France,Male,33,2,0.0,1,Yes,No,50-75K,No
Benjamin,850,Germany,Male,41,1,176958.46,2,No,Yes,50-75K,No
Ryrie,703,Germany,Female,38,9,99167.54,1,Yes,No,50-75K,No
Andreev,684,Spain,Female,42,3,103210.27,1,Yes,No,20-50K,No
Ts'ao,706,Germany,Female,48,10,104478.12,3,No,Yes,50-75K,Yes
Frolov,580,Spain,Male,61,8,125921.37,1,Yes,Yes,50-75K,No
Montemayor,777,Spain,Female,35,3,0.0,2,Yes,Yes,0-20K,No
Fu,676,Germany,Male,48,3,80697.44,1,No,No,50-75K,No
Whitehead,708,France,Female,44,2,161887.81,2,Yes,No,50-75K,No
Izuchukwu,809,France,Male,24,7,109558.36,1,Yes,No,50-75K,No
Lai,588,France,Male,38,1,124271.26,1,Yes,No,50-75K,No
Herring,623,France,Male,43,1,0.0,2,Yes,Yes,50-75K,No
Duffy,537,Spain,Male,42,1,190569.23,1,No,Yes,50-75K,No
Chiefo,536,Spain,Male,53,2,143923.96,1,Yes,No,0-20K,Yes
Fyodorov,769,France,Male,48,2,96542.16,2,No,Yes,50-75K,No
Chu,690,France,Male,33,5,0.0,2,Yes,No,50-75K,No
Robertson,771,Spain,Male,45,0,139825.56,1,No,No,50-75K,Yes
Palmerston,497,Germany,Male,24,6,111769.14,2,Yes,No,50-75K,No
Madukwe,622,Spain,Male,37,4,0.0,2,Yes,No,0-20K,No
Chinedum,602,Spain,Male,30,9,113672.18,2,No,No,50-75K,No
French,543,France,Female,32,7,147256.86,1,Yes,No,50-75K,No
Polyakov,520,Spain,Male,45,7,107023.03,1,Yes,No,20-50K,No
Clements,669,France,Male,37,1,125529.55,1,Yes,Yes,50-75K,No
Connor,631,Spain,Female,41,0,0.0,1,No,No,50-75K,No
Balashov,537,Germany,Male,48,4,131834.8,1,Yes,No,50-75K,Yes
Avdeeva,732,France,Male,62,2,0.0,2,Yes,Yes,20-50K,No
Chester,844,Spain,Male,56,5,99529.7,1,No,Yes,50-75K,Yes
Hung,838,Spain,Male,35,0,0.0,2,No,Yes,50-75K,No
Tu,652,France,Male,27,10,107303.72,2,No,No,20-50K,No
Thompson,660,France,Male,33,0,72783.42,1,No,No,50-75K,No
Jones,692,Spain,Female,44,8,0.0,1,No,Yes,50-75K,No
Li,588,France,Female,35,0,0.0,2,Yes,Yes,50-75K,No
Denisova,533,Germany,Female,22,10,115743.6,1,No,No,20-50K,No
Clogstoun,850,France,Male,43,4,161256.53,1,Yes,Yes,50-75K,No
Tan,511,France,Male,27,8,0.0,2,Yes,Yes,20-50K,No
Power,530,Spain,Male,44,6,0.0,2,No,No,50-75K,No
Harriman,554,France,Male,31,1,0.0,2,No,Yes,50-75K,No
Benson,585,Germany,Female,40,3,162261.01,2,Yes,No,50-75K,No
Thornton,754,France,Male,39,3,74896.33,1,No,No,20-50K,No
White,474,France,Male,54,3,0.0,1,Yes,No,50-75K,Yes
Mackenzie,837,Germany,Male,35,0,144037.6,1,Yes,No,50-75K,No
Kalinina,567,France,Female,23,9,93522.2,1,No,Yes,50-75K,No
Bennet,800,Spain,Male,38,1,0.0,2,Yes,No,50-75K,No
Hallahan,646,France,Male,18,10,0.0,2,No,Yes,50-75K,No
Martin,627,Germany,Male,38,8,106922.92,2,No,Yes,50-75K,No
Rivera,505,France,Male,26,8,112972.57,1,Yes,No,50-75K,No
Chiawuotu,566,Germany,Female,35,1,123042.0,1,Yes,No,50-75K,Yes
Sergeyev,619,Germany,Female,33,3,100488.92,2,No,Yes,20-50K,No
Christie,757,France,Female,44,4,123322.15,1,Yes,No,50-75K,No
Louis,648,France,Male,32,0,0.0,1,No,Yes,50-75K,No
Iqbal,621,Spain,Male,42,8,68683.68,1,Yes,Yes,50-75K,No
Marino,543,Germany,Male,49,6,59532.18,1,Yes,No,50-75K,No
Robertson,658,France,Female,43,7,140260.36,2,Yes,No,0-20K,No
Pai,633,Germany,Male,50,7,88302.65,1,Yes,Yes,50-75K,No
Barese,648,France,Female,19,1,0.0,2,No,Yes,20-50K,No
Chigolum,501,Germany,Male,40,5,114655.58,1,No,No,50-75K,No
Trouette,683,France,Female,42,4,148283.94,1,Yes,Yes,20-50K,Yes
Ugochukwu,619,Spain,Female,38,1,0.0,1,Yes,No,50-75K,Yes
Cribb,705,France,Female,35,3,0.0,2,No,Yes,50-75K,No
McIntyre,638,Germany,Female,53,1,123916.67,1,Yes,No,0-20K,Yes
Pickering,710,France,Female,31,1,0.0,2,Yes,No,20-50K,No
Fletcher,590,France,Female,54,4,0.0,2,Yes,Yes,50-75K,Yes
Uchenna,725,France,Male,43,2,165896.0,2,Yes,No,50-75K,No
Pisano,638,France,Female,32,0,0.0,2,Yes,No,50-75K,No
Corson,791,France,Male,36,6,111168.97,1,Yes,Yes,50-75K,No
Hooper,702,France,Female,40,1,103549.24,1,No,No,0-20K,Yes
He,607,France,Female,32,6,0.0,2,No,No,50-75K,No
Chidubem,535,France,Male,30,6,103804.97,1,Yes,Yes,50-75K,No
Schofield,651,France,Male,45,2,165901.59,2,Yes,No,20-50K,Yes
Liang,506,Germany,Male,59,8,119152.1,2,Yes,Yes,50-75K,No
Somadina,511,Spain,Female,57,8,122950.31,1,Yes,Yes,50-75K,No
McIntosh,757,France,Female,51,1,0.0,1,Yes,Yes,20-50K,Yes
Hinton,768,Germany,Male,49,1,133384.66,1,Yes,No,50-75K,Yes
Sal,757,France,Male,32,9,0.0,2,Yes,No,50-75K,No
De Luca,663,Spain,Male,64,6,0.0,2,No,Yes,0-20K,No
Bromby,537,Germany,Female,37,7,158411.95,4,Yes,Yes,50-75K,Yes
Chang,570,Germany,Male,29,4,122028.65,2,Yes,Yes,50-75K,No
Hunter,850,France,Female,35,5,0.0,1,Yes,Yes,50-75K,No
Sheppard,661,Germany,Female,64,8,128751.65,2,Yes,No,50-75K,Yes
Fan,659,France,Male,54,8,133436.52,1,Yes,No,50-75K,No
Muir,454,Spain,Male,40,2,123177.01,1,Yes,No,50-75K,No
Lai,708,France,Female,59,2,0.0,1,Yes,No,50-75K,Yes
Padovesi,720,France,Female,37,2,120328.88,2,Yes,Yes,50-75K,No
Kemp,785,France,Female,39,1,130147.98,1,Yes,No,50-75K,Yes
Greece,743,Spain,Female,36,8,92716.96,1,Yes,Yes,20-50K,No
Young,493,Spain,Female,48,7,0.0,2,Yes,No,20-50K,No
Chukwueloka,557,Spain,Male,34,3,0.0,1,No,Yes,50-75K,No
Woods,850,France,Male,40,1,76914.21,1,Yes,No,50-75K,No
Forbes,799,France,Female,32,3,106045.92,2,Yes,Yes,0-20K,No
Kang,756,France,Male,34,1,103133.26,1,Yes,Yes,50-75K,No
Nweke,752,France,Male,38,0,145974.79,2,Yes,Yes,50-75K,No
Ts'ui,696,Spain,Female,36,3,0.0,3,Yes,No,50-75K,No
Milano,630,Spain,Female,49,1,0.0,2,No,Yes,50-75K,No
Chao,659,Spain,Female,38,9,0.0,2,Yes,Yes,20-50K,No
Wan,685,Spain,Male,39,9,0.0,2,Yes,Yes,0-20K,No
Napolitani,599,Spain,Female,31,3,0.0,1,Yes,Yes,50-75K,Yes
Kovaleva,559,Spain,Female,31,1,139183.06,1,No,Yes,50-75K,No
Russell,615,Spain,Male,19,5,0.0,2,Yes,No,50-75K,No
Chiebuka,580,Germany,Female,36,3,74974.89,1,Yes,Yes,0-20K,No
Ellis,487,Spain,Male,44,6,61691.45,1,Yes,Yes,50-75K,No
Gordon,646,Germany,Female,35,1,121952.75,2,Yes,Yes,50-75K,No
Conway,811,France,Female,35,7,0.0,1,Yes,Yes,0-20K,No
Buccho,526,Spain,Male,35,5,0.0,2,Yes,Yes,50-75K,No
Aksyonova,767,Spain,Male,37,7,0.0,2,Yes,Yes,20-50K,No
Batty,548,France,Female,33,1,80107.83,2,No,Yes,50-75K,No
Rowe,737,Spain,Female,45,2,0.0,2,No,Yes,50-75K,No
Pisani,613,Germany,Male,40,1,147856.82,3,No,No,50-75K,Yes
Onochie,711,Spain,Male,36,8,0.0,2,Yes,No,50-75K,No
Farmer,850,Spain,Female,53,7,65407.16,2,No,No,50-75K,Yes
Cameron,752,France,Female,53,8,114233.18,1,Yes,Yes,50-75K,No
Jennings,710,France,Female,37,5,0.0,2,Yes,No,50-75K,No
Eluemuno,664,Spain,Female,53,7,187602.18,1,Yes,No,50-75K,Yes
Swift,510,France,Female,22,3,156834.34,1,No,No,20-50K,No
Pisani,577,France,Female,34,2,0.0,2,Yes,Yes,50-75K,No
Nnonso,529,France,Male,42,1,157498.9,1,Yes,Yes,50-75K,No
Cameron,757,Spain,Female,44,9,0.0,2,Yes,No,50-75K,No
Stevens,691,France,Male,41,2,0.0,1,Yes,Yes,50-75K,Yes
Zito,621,Spain,Male,34,8,0.0,1,No,No,20-50K,No
Taylor,709,Spain,Male,35,2,0.0,2,Yes,No,50-75K,No
Ferrari,756,Spain,Male,19,4,130274.22,1,Yes,Yes,50-75K,No
Yeh,788,France,Female,41,6,0.0,1,Yes,Yes,20-50K,No
Gould,705,France,Female,39,5,149379.66,2,Yes,No,50-75K,No
Agafonova,483,France,Male,29,9,0.0,1,Yes,Yes,50-75K,No
Fowler,719,Spain,Male,35,1,100829.94,1,Yes,Yes,50-75K,No
Chidumaga,793,Germany,Female,32,1,96408.98,1,Yes,Yes,50-75K,No
Sabbatini,593,France,Male,41,6,0.0,2,Yes,Yes,50-75K,No
Johnson,551,France,Male,52,1,0.0,1,No,No,50-75K,Yes
Chapman,690,France,Male,39,6,0.0,2,Yes,No,50-75K,No
Birk,823,France,Male,71,5,149105.08,1,No,Yes,50-75K,No
Capon,512,Spain,Male,39,3,0.0,1,Yes,No,50-75K,No
Chidubem,802,Spain,Male,41,5,0.0,2,Yes,Yes,50-75K,No
Childs,450,Spain,Female,34,2,0.0,2,Yes,No,50-75K,No
Sun,651,Germany,Male,41,1,90218.11,1,Yes,No,50-75K,No
Lung,697,France,Female,33,1,87347.7,1,Yes,No,50-75K,No
Tao,611,France,Male,28,2,0.0,2,No,No,20-50K,No
Napolitano,643,France,Female,33,0,137811.75,1,Yes,Yes,50-75K,No
Davis,822,France,Male,37,3,105563.0,1,Yes,No,50-75K,No
Sagese,632,France,Male,38,4,0.0,2,No,No,50-75K,No
Hutchinson,575,Spain,Female,26,7,0.0,2,Yes,No,50-75K,No
Nelson,672,France,Male,31,6,91125.75,1,Yes,No,50-75K,No
Schiavone,517,Spain,Male,39,3,0.0,2,No,Yes,0-20K,No
Chienezie,621,Spain,Male,39,8,0.0,2,Yes,No,20-50K,No
Obioma,775,Germany,Female,77,6,135120.56,1,Yes,No,20-50K,No
Butusov,600,France,Male,29,8,0.0,2,No,Yes,20-50K,No
Pisano,640,France,Male,28,7,0.0,2,Yes,Yes,50-75K,No
Stetson,752,France,Female,36,1,86837.95,1,Yes,Yes,50-75K,No
Waring,613,France,Male,26,4,100446.57,1,No,Yes,50-75K,No
Fanucci,484,France,Female,32,3,0.0,2,Yes,Yes,50-75K,No
Thao,511,France,Female,33,3,0.0,2,Yes,No,50-75K,No
Murphy,745,France,Female,32,2,0.0,4,No,Yes,50-75K,Yes
McConnell,786,Spain,Female,32,6,114512.59,1,Yes,No,0-20K,No
Armfield,727,France,Male,35,5,136364.46,1,No,No,50-75K,No
Fanucci,622,France,Male,31,5,106260.67,1,Yes,Yes,0-20K,No
Panina,794,France,Male,24,10,146126.75,1,Yes,Yes,50-75K,No
Nixon,636,Spain,Male,52,4,111284.53,1,No,Yes,20-50K,Yes
Walker,741,Spain,Female,42,9,121056.63,2,Yes,No,20-50K,No
Chiemela,687,France,Male,34,5,128270.56,1,Yes,No,50-75K,No
Martel,660,Spain,Male,30,4,0.0,2,Yes,No,50-75K,No
Briggs,660,France,Male,35,7,0.0,2,Yes,No,0-20K,No
Iheatu,617,France,Female,79,7,0.0,1,Yes,Yes,50-75K,No
Jennings,762,France,Male,32,10,191775.65,1,Yes,No,50-75K,No
Ch'en,752,Spain,Female,35,2,0.0,1,Yes,No,20-50K,Yes
Kovalyov,561,Spain,Male,34,4,85141.79,2,Yes,Yes,20-50K,No
Yeh,609,France,Male,26,10,126392.18,1,No,Yes,20-50K,No
Chien,803,France,Male,28,3,0.0,2,Yes,No,50-75K,No
Brown,556,France,Female,40,9,129860.37,1,No,No,0-20K,No
Buddicom,531,France,Female,53,5,127642.44,1,Yes,No,50-75K,Yes
McGregor,411,France,Female,35,2,0.0,2,Yes,Yes,50-75K,No
Thompson,587,Germany,Female,44,5,125584.17,2,Yes,Yes,20-50K,Yes
Ross,683,Spain,Male,56,7,50911.21,3,No,No,50-75K,Yes
Ch'ang,654,France,Male,29,2,91955.61,1,Yes,No,20-50K,No
Warren,670,Germany,Female,36,2,84266.44,2,No,No,20-50K,No
Uspenskaya,655,France,Female,36,2,147149.59,1,Yes,Yes,50-75K,No
King,752,France,Female,36,7,0.0,2,Yes,No,50-75K,No
Trentini,534,France,Female,23,5,104822.45,1,No,Yes,50-75K,No
Konovalova,635,France,Male,42,1,146766.72,2,No,Yes,50-75K,No
Dellucci,491,Germany,Male,70,6,148745.92,2,Yes,Yes,0-20K,No
Goddard,516,France,Male,27,9,0.0,1,Yes,No,50-75K,Yes
Neumann,530,France,Female,48,0,0.0,1,Yes,No,50-75K,No
Ch'in,687,Spain,Male,35,3,0.0,2,Yes,Yes,50-75K,No
Walters,684,France,Female,41,6,135203.81,2,Yes,Yes,50-75K,No
Muravyova,706,Germany,Male,23,2,93301.97,2,No,Yes,50-75K,No
Barry,490,Germany,Male,33,5,96341.0,2,No,No,50-75K,No
Woolnough,796,France,Male,44,8,165326.2,1,Yes,Yes,50-75K,No
Keen,849,France,Male,27,0,0.0,2,No,Yes,50-75K,No
Liebe,779,France,Female,41,10,99786.2,1,Yes,No,50-75K,No
White,794,Spain,Female,22,4,114440.24,1,Yes,Yes,50-75K,No
Hunter,748,Spain,Male,36,4,141573.55,1,Yes,No,50-75K,No
Myers,663,Spain,Female,22,9,0.0,1,Yes,No,20-50K,Yes
Rogova,645,Spain,Female,55,1,133676.65,1,No,Yes,0-20K,No
Raff,464,France,Female,33,10,147493.7,2,Yes,No,50-75K,No
Cocci,737,France,Male,54,9,0.0,1,Yes,No,50-75K,Yes
Kanayochukwu,590,France,Female,29,4,0.0,2,Yes,No,50-75K,No
Obialo,522,Germany,Female,37,3,95022.57,1,Yes,Yes,50-75K,No
Liu,648,France,Female,34,3,0.0,1,Yes,No,50-75K,No
Gilbert,754,France,Male,37,6,0.0,1,Yes,Yes,50-75K,No
Coles,669,France,Male,50,4,149713.61,3,Yes,Yes,50-75K,Yes
Ponomaryov,648,Germany,Female,43,1,107963.38,1,No,No,50-75K,Yes
Bergamaschi,763,France,Male,40,3,0.0,2,Yes,No,50-75K,No
Guerin,790,Spain,Male,32,3,0.0,1,Yes,No,50-75K,No
Sinclair,581,France,Male,37,7,0.0,2,Yes,Yes,50-75K,No
Dominguez,703,France,Male,43,8,0.0,2,Yes,No,0-20K,No
Costa,571,France,Female,33,9,102017.25,2,No,No,50-75K,No
Wei,657,Spain,Female,27,8,0.0,2,No,No,0-20K,No
Mills,737,France,Male,44,7,0.0,2,No,No,50-75K,No
Pugh,793,Spain,Male,29,8,96674.55,2,No,No,50-75K,No
Price,783,Spain,Female,44,3,81811.71,1,Yes,No,50-75K,Yes
Wood,751,Spain,Male,33,4,79281.61,1,Yes,No,50-75K,No
Robertson,579,France,Male,31,6,0.0,2,Yes,No,20-50K,No
Sawtell,655,Germany,Female,36,10,122314.39,1,Yes,No,0-20K,No
Yuryeva,614,Germany,Male,43,8,140733.74,1,Yes,Yes,50-75K,No
Pisano,678,Germany,Male,49,2,116933.11,1,Yes,No,50-75K,Yes
Kharitonova,562,Spain,Male,41,5,165445.04,2,Yes,No,50-75K,No
Simmons,711,Germany,Female,53,5,123805.03,1,Yes,No,50-75K,No
Muramats,620,France,Male,37,0,107548.94,1,Yes,No,50-75K,No
Tang,437,France,Male,49,9,111634.29,2,No,Yes,50-75K,No
Peng,691,Germany,Female,41,8,109153.96,3,Yes,Yes,50-75K,Yes
Bevan,552,Spain,Female,34,4,0.0,2,Yes,No,50-75K,No
Zito,765,Germany,Male,34,5,86055.17,2,Yes,Yes,50-75K,No
Sokolov,707,Germany,Female,51,10,98438.23,1,No,No,50-75K,Yes
Teng,764,Spain,Male,29,5,0.0,2,Yes,No,50-75K,No
Amadi,585,France,Female,32,8,144705.87,2,No,No,50-75K,No
Davide,784,France,Male,31,7,0.0,2,Yes,Yes,50-75K,No
Parkes,605,France,Male,41,5,91612.91,1,Yes,Yes,20-50K,No
Mazzanti,699,Spain,Male,40,2,0.0,1,Yes,No,50-75K,No
Findlay,544,France,Female,40,7,0.0,1,No,Yes,50-75K,No
Hsu,803,France,Female,32,9,192122.84,1,Yes,Yes,50-75K,Yes
Chukwukadibia,735,France,Male,41,7,179904.0,1,Yes,Yes,50-75K,No
Baxter,673,France,Male,59,0,178058.06,2,No,Yes,20-50K,Yes
Kung,652,France,Male,30,2,176166.56,2,Yes,Yes,50-75K,No
Booth,694,France,Male,42,3,156864.2,2,No,No,50-75K,No
Evans,741,France,Female,44,7,0.0,2,Yes,Yes,50-75K,No
Kung,590,Spain,Male,30,3,0.0,2,Yes,No,50-75K,No
Tung,809,Spain,Female,33,3,0.0,2,No,Yes,50-75K,No
Yuan,523,France,Male,34,2,161588.89,1,Yes,Yes,50-75K,No
Jackson,540,France,Male,48,2,109349.29,1,Yes,No,50-75K,Yes
Ross,596,Spain,Female,29,6,0.0,2,Yes,No,50-75K,No
Yang,597,France,Female,36,9,0.0,2,Yes,Yes,0-20K,No
Yu,407,Spain,Male,37,1,0.0,1,Yes,Yes,20-50K,Yes
Onwumelu,748,France,Male,60,0,152335.7,1,Yes,No,50-75K,Yes
Gay,562,France,Female,51,1,124662.54,1,Yes,Yes,50-75K,Yes
Morrison,734,Germany,Female,47,10,91522.04,2,Yes,Yes,50-75K,No
Belov,710,France,Male,45,1,0.0,2,Yes,Yes,20-50K,No
Mao,539,Spain,Female,39,6,62052.28,1,No,Yes,50-75K,No
Walsh,542,France,Male,32,7,107871.72,1,Yes,No,50-75K,No
Bruno,717,France,Female,36,2,99472.76,2,Yes,No,50-75K,Yes
Gray,682,Spain,Female,50,10,128039.01,1,Yes,Yes,50-75K,No
Maurer,515,France,Male,33,2,0.0,2,Yes,Yes,50-75K,No
Chiang,526,Spain,Female,33,8,114634.63,2,Yes,No,50-75K,Yes
Cattaneo,702,France,Male,26,5,56738.47,2,Yes,Yes,50-75K,Yes
Grieve,651,Germany,Male,34,2,90355.12,2,No,No,50-75K,No
Lowell,792,Germany,Male,36,5,115725.24,2,No,No,0-20K,No
Trentino,817,Germany,Male,58,3,114327.59,2,Yes,Yes,20-50K,No
Sung,674,Germany,Female,36,6,100762.64,1,Yes,No,50-75K,No
Yen,641,France,Female,40,9,0.0,1,No,No,50-75K,Yes
Philipp,513,Spain,Male,39,7,89039.9,2,Yes,Yes,50-75K,No
Dynon,561,France,Male,34,1,78829.53,1,Yes,Yes,0-20K,No
Alexeyeva,627,Germany,Male,30,6,112372.96,1,Yes,Yes,50-75K,No
Hs?eh,682,Germany,Male,81,6,122029.15,1,Yes,Yes,50-75K,No
Ferri,683,France,Female,29,0,157829.12,1,No,No,50-75K,No
Hsu,420,Germany,Female,31,1,108377.75,2,Yes,Yes,0-20K,No
Bishop,670,France,Female,54,2,95507.12,1,Yes,Yes,50-75K,No
Toscani,505,Germany,Male,43,6,127146.68,1,No,No,50-75K,No
T'ao,580,Germany,Male,24,1,133811.78,1,Yes,No,0-20K,Yes
Philip,577,France,Male,36,3,121092.47,2,No,Yes,50-75K,No
Li Fonti,773,Germany,Male,34,10,126979.75,1,No,No,20-50K,No
Rene,616,France,Male,37,5,144235.73,2,No,No,50-75K,Yes
Daigle,763,France,Female,38,0,152582.2,2,No,No,20-50K,No
Joshua,640,Spain,Male,43,9,172478.15,1,Yes,No,50-75K,Yes
Simmons,592,France,Male,36,1,126477.42,1,No,No,50-75K,No
Jamieson,528,Spain,Male,43,7,97473.87,2,Yes,Yes,50-75K,No
Hou,630,France,Male,53,5,138053.67,1,No,Yes,50-75K,No
Cochran,529,France,Female,31,2,164003.05,2,Yes,Yes,50-75K,No
Bibb,546,France,Female,47,8,0.0,1,Yes,Yes,50-75K,Yes
Jen,753,France,Female,62,6,0.0,2,Yes,Yes,50-75K,No
Corran,772,Spain,Female,39,4,122486.11,2,Yes,Yes,50-75K,No
He,567,France,Male,36,1,0.0,2,No,No,0-20K,No
Loggia,628,Germany,Female,45,6,53667.44,1,Yes,No,50-75K,No
Lovely,658,France,Male,20,7,0.0,2,No,No,50-75K,No
Becker,679,Spain,Male,58,9,109327.65,1,Yes,Yes,0-20K,No
Plascencia,629,Spain,Male,34,1,121151.05,1,No,No,50-75K,No
Somadina,731,Spain,Male,42,9,101043.63,1,Yes,Yes,50-75K,No
Walker,775,Germany,Male,33,3,83501.66,2,Yes,No,50-75K,No
Alekseeva,660,Spain,Male,33,2,80462.24,1,No,No,50-75K,No
Watson,752,France,Male,39,3,0.0,1,Yes,No,50-75K,No
Zotov,655,France,Male,37,6,109093.41,2,Yes,No,0-20K,No
Williamson,543,Spain,Female,46,5,140355.6,1,Yes,Yes,50-75K,No
Carpenter,811,France,Male,42,10,0.0,2,Yes,Yes,0-20K,No
Cattaneo,689,Germany,Male,45,0,130170.82,2,Yes,No,50-75K,No
Gordon,531,France,Female,42,2,0.0,2,No,Yes,50-75K,No
Boni,515,France,Male,40,0,109542.29,1,Yes,Yes,50-75K,No
Lynch,466,France,Female,41,3,33563.95,2,Yes,No,50-75K,Yes
McCarthy,782,France,Male,36,1,148795.17,2,Yes,Yes,50-75K,No
Davies,611,France,Male,64,9,0.0,2,Yes,Yes,50-75K,No
Hargreaves,621,Germany,Male,40,8,174126.75,3,Yes,No,50-75K,Yes
Blackburn,604,Spain,Male,41,3,0.0,1,No,No,0-20K,No
K?,655,Spain,Female,35,1,106405.03,1,Yes,Yes,50-75K,No
Meng,689,Spain,Male,38,2,0.0,1,Yes,Yes,50-75K,No
Cattaneo,681,Spain,Male,30,2,128393.29,1,Yes,Yes,50-75K,No
Hunt,643,Germany,Male,41,2,127841.52,1,Yes,No,50-75K,No
Owens,617,France,Female,24,4,137295.19,2,Yes,Yes,50-75K,No
Steele,638,Spain,Female,55,2,155828.22,1,No,Yes,50-75K,Yes
Kennedy,743,France,Male,39,6,0.0,2,Yes,No,20-50K,No
Pan,828,Germany,Female,25,7,144351.86,1,Yes,No,50-75K,No
Alexander,776,Spain,Male,35,8,106365.29,1,Yes,Yes,50-75K,No
Bray,540,Germany,Male,35,7,127801.88,1,No,Yes,50-75K,No
Nnabuife,616,Germany,Female,45,4,122793.96,1,Yes,Yes,50-75K,No
Padovesi,628,Germany,Male,38,10,113525.84,1,Yes,No,20-50K,Yes
Bray,667,Spain,Female,23,6,136100.69,2,No,No,50-75K,Yes
Lucas,615,France,Male,30,7,0.0,2,Yes,Yes,50-75K,No
Tinline,543,France,Male,30,4,140916.81,1,Yes,No,50-75K,No
Esomchi,553,France,Female,31,4,0.0,2,Yes,Yes,50-75K,No
Liao,554,Germany,Male,26,4,121365.39,1,Yes,Yes,0-20K,No
Iroawuchi,684,Spain,Female,36,4,0.0,1,Yes,No,50-75K,No
Retana,452,France,Female,35,7,0.0,2,Yes,No,50-75K,No
Fang,606,France,Male,47,3,93578.68,2,No,Yes,50-75K,Yes
Ozioma,629,France,Male,40,9,0.0,1,Yes,No,0-20K,No
Robson,659,Spain,Female,33,8,115409.6,1,No,Yes,0-20K,No
Bruno,493,France,Female,33,8,90791.69,1,Yes,Yes,50-75K,No
Price,794,France,Female,62,9,123681.32,3,Yes,No,50-75K,Yes
Swanson,554,France,Female,44,6,92436.86,1,Yes,No,50-75K,No
Chang,796,Germany,Female,52,9,167194.36,1,Yes,Yes,50-75K,Yes
Morgan,807,France,Female,36,4,0.0,2,No,Yes,50-75K,No
Nwebube,500,Germany,Male,44,9,160838.13,2,Yes,No,50-75K,No
Trevisan,722,Spain,Male,43,1,0.0,1,Yes,No,20-50K,Yes
